Date;Time;candleNo;tradeType;Price;Quantity;Total;dealNum;coms;Age;posHigh;posLow;posRange;posEntry;posExit;posEffic;posType
17.05.2021;17:37:50.554;QM;SBER; 15 ìèíóò
14.12.2020;16:15:00.000;0;QM_Init: AQL Script has been loaded successfully;C:\Users\Admin\OneDrive\Documents\My Stocks\Stock\HP-HP\Libs Sandbox\trade_lib.aql
15.12.2020;10:00:00.000;32;#step_=;32n;account_=;0l;lbreak_=;0,00p;lbounce_=;0,00p;sbreak_=;0,00p;sbounce_=;0,00p
15.12.2020;10:00:00.000;32;imitator: Open short;279,4;300;83820;1286;-46,9392
15.12.2020;10:00:00.000;32;InternalOnOrder;brokerref_=;AAAAAAAAAAAY;RestoredId_=;24;RobotId_=;24;orderno_=;2541;status_=;matched;
15.12.2020;10:00:00.000;32;dealer_onOrder;SELL;quantity_=;-30;pos.Price_=;0;pos.Bought_=;0;pos.Sold_=;0;
15.12.2020;10:00:00.000;32;InternalOnTrade;brokerref_=;AAAAAAAAAAAY;RestoredId_=;24;RobotId_=;24;orderno_=;2541;tradeno_=;2541;quantity_=;30;price_=;279,4;
15.12.2020;10:00:00.000;32;dealer_onTrade;SELL;quantity;30;price;279,4;money;83820
15.12.2020;10:00:00.000;32;#short_lr_bounce_open_following;pos.price_=;279,40p;account_=;-30l;LR_=;0,00p
15.12.2020;10:15:00.000;33;#step_=;33n;account_=;-30l;lbreak_=;0,00p;lbounce_=;0,00p;sbreak_=;0,00p;sbounce_=;0,00p
15.12.2020;10:30:00.000;34;#step_=;34n;account_=;-30l;lbreak_=;0,00p;lbounce_=;0,00p;sbreak_=;0,00p;sbounce_=;0,00p
15.12.2020;10:30:00.000;34;#short_lr_stop_following_looking_for_SL_conditions
15.12.2020;10:30:00.000;34;#short_lr_stop_following_looking_for_TP_conditions
15.12.2020;10:45:00.000;35;#step_=;35n;account_=;-30l;lbreak_=;0,00p;lbounce_=;0,00p;sbreak_=;0,00p;sbounce_=;0,00p
15.12.2020;11:00:00.000;36;#step_=;36n;account_=;-30l;lbreak_=;0,00p;lbounce_=;0,00p;sbreak_=;0,00p;sbounce_=;0,00p
15.12.2020;11:15:00.000;37;#step_=;37n;account_=;-30l;lbreak_=;0,00p;lbounce_=;0,00p;sbreak_=;0,00p;sbounce_=;0,00p
15.12.2020;11:30:00.000;38;#step_=;38n;account_=;-30l;lbreak_=;0,00p;lbounce_=;0,00p;sbreak_=;0,00p;sbounce_=;0,00p
15.12.2020;11:45:00.000;39;#step_=;39n;account_=;-30l;lbreak_=;0,00p;lbounce_=;0,00p;sbreak_=;0,00p;sbounce_=;0,00p
